locus	sample	rep	mlength	MAPQ	mapped_origin	chrom	start	end	FLAG	QNAME
DRPLA	WGSrpt_08	19	150	21	mis	chr3	48521271	48521417	161	ST-E00106:367:H7CNJALXX:7:2210:15432:7866
DRPLA	WGSrpt_08	41	150	37	ok	chr12	7045756	7045905	147	ST-E00106:367:H7CNJALXX:6:2209:4411:55790
DRPLA	WGSrpt_08	40	148	44	ok	chr12	7045760	7045907	163	ST-E00106:367:H7CNJALXX:7:1205:9191:55280
DRPLA	WGSrpt_08	39	150	44	ok	chr12	7045910	7046059	83	ST-E00106:367:H7CNJALXX:7:1102:17756:10486
DRPLA	WGSrpt_08	34	150	44	ok	chr12	7045918	7046067	99	ST-E00106:367:H7CNJALXX:7:1217:32694:11365
DRPLA	WGSrpt_08	67	150	39	ok	chr12	7045828	7045977	163	ST-E00106:367:H7CNJALXX:7:2108:11698:8323
DRPLA	WGSrpt_08	49	150	37	ok	chr12	7045899	7046048	83	ST-E00106:367:H7CNJALXX:7:1201:28097:53082
DRPLA	WGSrpt_08	64	149	21	ok	chr12	7045865	7046012	99	ST-E00106:367:H7CNJALXX:6:2101:27722:993
DRPLA	WGSrpt_08	18	149	44	ok	chr12	7045939	7046087	163	ST-E00106:367:H7CNJALXX:7:1111:22658:7128
DRPLA	WGSrpt_08	67	150	44	ok	chr12	7045871	7046020	147	ST-E00106:367:H7CNJALXX:6:1202:5081:35186
DRPLA	WGSrpt_08	52	150	25	ok	chr12	7045829	7045993	83	ST-E00106:367:H7CNJALXX:6:2206:29792:57846
DRPLA	WGSrpt_08	41	150	21	ok	chr12	7045908	7046057	99	ST-E00106:367:H7CNJALXX:7:1224:31649:61450
DRPLA	WGSrpt_08	59	149	25	ok	chr12	7045785	7045923	147	ST-E00106:367:H7CNJALXX:6:1202:14072:40460
DRPLA	WGSrpt_08	59	150	19	ok	chr12	7045831	7045979	147	ST-E00106:367:H7CNJALXX:7:2114:8105:12507
DRPLA	WGSrpt_08	57	150	39	ok	chr12	7045774	7045922	99	ST-E00106:367:H7CNJALXX:6:1105:1377:14178
DRPLA	WGSrpt_08	28	150	44	ok	chr12	7045740	7045889	163	ST-E00106:367:H7CNJALXX:6:1211:26118:56124
DRPLA	WGSrpt_08	57	150	44	ok	chr12	7045891	7046040	99	ST-E00106:367:H7CNJALXX:7:2213:15371:28646
DRPLA	WGSrpt_08	63	150	38	ok	chr12	7045812	7045961	83	ST-E00106:367:H7CNJALXX:7:1107:6715:51729
DRPLA	WGSrpt_08	36	150	25	ok	chr12	7045751	7045900	147	ST-E00106:367:H7CNJALXX:6:1113:8897:39967
DRPLA	WGSrpt_08	53	150	18	ok	chr12	7045895	7046043	163	ST-E00106:367:H7CNJALXX:7:2217:8836:17324
DRPLA	WGSrpt_08	55	150	39	ok	chr12	7045777	7045925	163	ST-E00106:367:H7CNJALXX:7:2209:16183:32127
DRPLA	WGSrpt_08	66	150	38	ok	chr12	7045806	7045955	83	ST-E00106:367:H7CNJALXX:6:1107:19898:3049
DRPLA	WGSrpt_08	64	150	25	ok	chr12	7045845	7045994	147	ST-E00106:367:H7CNJALXX:6:1224:4350:3893
DRPLA	WGSrpt_08	56	150	18	ok	chr12	7045894	7046041	147	ST-E00106:367:H7CNJALXX:6:2103:31162:11382
DRPLA	WGSrpt_08	67	150	39	ok	chr12	7045871	7046020	99	ST-E00106:367:H7CNJALXX:6:2110:11718:73229
DRPLA	WGSrpt_08	52	148	37	ok	chr12	7045826	7045988	163	ST-E00106:367:H7CNJALXX:7:2213:2615:32672
DRPLA	WGSrpt_08	67	150	39	ok	chr12	7045825	7045974	99	ST-E00106:367:H7CNJALXX:7:1214:30147:59270
DRPLA	WGSrpt_08	63	149	39	ok	chr12	7045820	7045968	99	ST-E00106:367:H7CNJALXX:7:2211:17563:19610
DRPLA	WGSrpt_08	56	150	38	ok	chr12	7045790	7045923	83	ST-E00106:367:H7CNJALXX:6:1203:27174:50850
DRPLA	WGSrpt_08	36	149	44	ok	chr12	7045913	7046061	99	ST-E00106:367:H7CNJALXX:6:2119:26687:57600
DRPLA	WGSrpt_08	64	150	18	ok	chr12	7045874	7046023	163	ST-E00106:367:H7CNJALXX:6:2103:17137:33568
DRPLA	WGSrpt_08	52	150	27	ok	chr12	7045880	7046027	83	ST-E00106:367:H7CNJALXX:6:2217:9557:49021
DRPLA	WGSrpt_08	55	150	19	ok	chr12	7045852	7046016	147	ST-E00106:367:H7CNJALXX:6:2213:26058:69836
DRPLA	WGSrpt_08	34	150	44	ok	chr12	7045918	7046067	99	ST-E00106:367:H7CNJALXX:7:1123:9709:11418
DRPLA	WGSrpt_08	64	150	38	ok	chr12	7045847	7045996	83	ST-E00106:367:H7CNJALXX:6:2212:9506:56704
DRPLA	WGSrpt_08	64	149	40	ok	chr12	7045848	7045996	99	ST-E00106:367:H7CNJALXX:6:1108:4756:22106
DRPLA	WGSrpt_08	52	150	36	ok	chr12	7045855	7046019	83	ST-E00106:367:H7CNJALXX:7:2117:4168:56247
DRPLA	WGSrpt_08	44	150	42	ok	chr12	7045807	7045923	99	ST-E00106:367:H7CNJALXX:6:2220:17127:71242
DRPLA	WGSrpt_08	54	150	38	ok	chr12	7045844	7046008	99	ST-E00106:367:H7CNJALXX:6:1109:12571:37858
DRPLA	WGSrpt_08	18	150	44	ok	chr12	7045937	7046086	147	ST-E00106:367:H7CNJALXX:7:1119:20263:5897
DRPLA	WGSrpt_08	56	150	44	ok	chr12	7045788	7045925	163	ST-E00106:367:H7CNJALXX:6:2218:29467:20401
DRPLA	WGSrpt_08	57	150	48	ok	chr12	7045780	7045941	163	ST-E00106:367:H7CNJALXX:6:2106:25307:40583
DRPLA	WGSrpt_08	66	149	44	ok	chr12	7045797	7045945	163	ST-E00106:367:H7CNJALXX:7:2212:10470:66812
DRPLA	WGSrpt_08	52	150	28	ok	chr12	7045880	7046033	147	ST-E00106:367:H7CNJALXX:7:1121:12479:44486
DRPLA	WGSrpt_08	63	150	40	ok	chr12	7045804	7045953	163	ST-E00106:367:H7CNJALXX:7:1214:6299:21157
DRPLA	WGSrpt_08	66	148	37	ok	chr12	7045824	7045971	83	ST-E00106:367:H7CNJALXX:7:2122:13250:58057
DRPLA	WGSrpt_08	63	150	39	ok	chr12	7045813	7045962	163	ST-E00106:367:H7CNJALXX:7:2114:20476:43536
DRPLA	WGSrpt_08	44	150	34	ok	chr12	7045905	7046054	163	ST-E00106:367:H7CNJALXX:6:1213:32522:15602
DRPLA	WGSrpt_08	47	150	42	ok	chr12	7045799	7045923	83	ST-E00106:367:H7CNJALXX:6:1212:1235:13896
DRPLA	WGSrpt_08	54	150	28	ok	chr12	7045774	7045919	147	ST-E00106:367:H7CNJALXX:6:1224:13839:62136
DRPLA	WGSrpt_08	41	150	44	ok	chr12	7045908	7046057	83	ST-E00106:367:H7CNJALXX:7:1210:10815:29402
DRPLA	WGSrpt_08	52	150	27	ok	chr12	7045880	7046026	83	ST-E00106:367:H7CNJALXX:7:2210:28077:44855
DRPLA	WGSrpt_08	55	150	34	ok	chr12	7045788	7045941	147	ST-E00106:367:H7CNJALXX:7:1214:15524:32215
DRPLA	WGSrpt_08	52	149	28	ok	chr12	7045880	7046031	83	ST-E00106:367:H7CNJALXX:7:1118:4696:24708
DRPLA	WGSrpt_08	48	150	47	ok	chr12	7045808	7045941	163	ST-E00106:367:H7CNJALXX:7:1118:21085:39247
DRPLA	WGSrpt_08	33	150	36	ok	chr12	7045741	7045890	83	ST-E00106:367:H7CNJALXX:6:2124:22790:30632
DRPLA	WGSrpt_08	23	150	44	ok	chr12	7045934	7046083	83	ST-E00106:367:H7CNJALXX:7:1208:21268:34008
DRPLA	WGSrpt_08	72	150	41	ok	chr12	7045835	7045984	83	ST-E00106:367:H7CNJALXX:6:2223:8511:11945
DRPLA	WGSrpt_08	40	150	25	ok	chr12	7045758	7045907	147	ST-E00106:367:H7CNJALXX:6:1216:28686:9413
DRPLA	WGSrpt_08	31	150	44	ok	chr12	7045741	7045889	163	ST-E00106:367:H7CNJALXX:7:1213:30868:50603
DRPLA	WGSrpt_08	47	150	39	ok	chr12	7045798	7045926	163	ST-E00106:367:H7CNJALXX:6:1104:20446:34623
DRPLA	WGSrpt_08	67	150	39	ok	chr12	7045834	7045983	163	ST-E00106:367:H7CNJALXX:6:1201:4239:7216
DRPLA	WGSrpt_08	59	150	38	ok	chr12	7045839	7045988	163	ST-E00106:367:H7CNJALXX:7:2201:25976:2751
DRPLA	WGSrpt_08	26	150	38	ok	chr12	7045731	7045880	83	ST-E00106:367:H7CNJALXX:7:1204:7060:16217
DRPLA	WGSrpt_08	64	150	39	ok	chr12	7045843	7045991	163	ST-E00106:367:H7CNJALXX:7:1208:27823:5739
DRPLA	WGSrpt_08	63	150	39	ok	chr12	7045824	7045973	163	ST-E00106:367:H7CNJALXX:6:1105:10358:67392
DRPLA	WGSrpt_08	58	150	39	ok	chr12	7045773	7045922	99	ST-E00106:367:H7CNJALXX:7:1214:17797:8376
DRPLA	WGSrpt_08	50	149	39	ok	chr12	7045766	7045914	83	ST-E00106:367:H7CNJALXX:6:1216:18670:20190
DRPLA	WGSrpt_08	56	150	44	ok	chr12	7045780	7045926	163	ST-E00106:367:H7CNJALXX:7:2209:21572:18678
DRPLA	WGSrpt_08	19	150	41	ok	chr12	7045934	7046083	83	ST-E00106:367:H7CNJALXX:6:2209:31294:28206
DRPLA	WGSrpt_08	52	150	38	ok	chr12	7045833	7045995	163	ST-E00106:367:H7CNJALXX:6:1208:6806:60325
DRPLA	WGSrpt_08	36	150	40	ok	chr12	7045913	7046062	83	ST-E00106:367:H7CNJALXX:6:1203:24505:44538
DRPLA	WGSrpt_08	58	150	40	ok	chr12	7045776	7045923	163	ST-E00106:367:H7CNJALXX:6:1203:24505:44538
DRPLA	WGSrpt_08	46	148	40	ok	chr12	7045763	7045910	99	ST-E00106:367:H7CNJALXX:6:2204:27082:12050
DRPLA	WGSrpt_08	34	149	25	ok	chr12	7045743	7045891	147	ST-E00106:367:H7CNJALXX:6:1222:8532:65037
DRPLA	WGSrpt_08	62	150	39	ok	chr12	7045810	7045959	163	ST-E00106:367:H7CNJALXX:7:2106:11779:20594
DRPLA	WGSrpt_08	64	149	40	ok	chr12	7045855	7046003	99	ST-E00106:367:H7CNJALXX:6:2113:11353:70416
DRPLA	WGSrpt_08	26	150	42	ok	chr12	7045732	7045881	83	ST-E00106:367:H7CNJALXX:6:1203:5883:5493
DRPLA	WGSrpt_08	40	150	44	ok	chr12	7045755	7045904	99	ST-E00106:367:H7CNJALXX:6:2207:17269:10205
DRPLA	WGSrpt_08	52	150	28	ok	chr12	7045880	7046037	99	ST-E00106:367:H7CNJALXX:6:2213:12225:68834
DRPLA	WGSrpt_08	63	148	25	ok	chr12	7045820	7045967	83	ST-E00106:367:H7CNJALXX:7:2222:21836:70891
DRPLA	WGSrpt_08	22	150	44	ok	chr12	7045935	7046084	163	ST-E00106:367:H7CNJALXX:7:1217:16863:49935
DRPLA	WGSrpt_08	52	150	27	ok	chr12	7045880	7046030	99	ST-E00106:367:H7CNJALXX:6:1111:14732:16217
DRPLA	WGSrpt_08	52	149	25	ok	chr12	7045860	7046023	147	ST-E00106:367:H7CNJALXX:6:2112:24129:5001
DRPLA	WGSrpt_08	61	150	40	ok	chr12	7045776	7045925	99	ST-E00106:367:H7CNJALXX:6:2209:8298:70856
DRPLA	WGSrpt_08	52	150	28	ok	chr12	7045880	7046040	83	ST-E00106:367:H7CNJALXX:7:1207:9668:6776
DRPLA	WGSrpt_08	13	150	41	ok	chr12	7045750	7045890	147	ST-E00106:367:H7CNJALXX:7:2110:6116:41690
DRPLA	WGSrpt_08	66	150	39	ok	chr12	7045800	7045949	99	ST-E00106:367:H7CNJALXX:7:2203:7496:7655
DRPLA	WGSrpt_08	52	150	27	ok	chr12	7045880	7046027	99	ST-E00106:367:H7CNJALXX:7:1207:15108:69678
DRPLA	WGSrpt_08	69	150	44	ok	chr12	7045854	7046003	147	ST-E00106:367:H7CNJALXX:7:1223:26250:33779
DRPLA	WGSrpt_08	37	150	42	ok	chr12	7045796	7045926	163	ST-E00106:367:H7CNJALXX:6:1108:16975:49601
DRPLA	WGSrpt_08	52	150	34	ok	chr12	7045897	7046046	163	ST-E00106:367:H7CNJALXX:7:2204:26534:41972
DRPLA	WGSrpt_08	66	149	37	ok	chr12	7045826	7045974	83	ST-E00106:367:H7CNJALXX:7:2113:27458:18889
DRPLA	WGSrpt_08	31	150	44	ok	chr12	7045926	7046075	99	ST-E00106:367:H7CNJALXX:6:2206:10287:18924
DRPLA	WGSrpt_08	72	150	25	ok	chr12	7045865	7046014	147	ST-E00106:367:H7CNJALXX:7:2212:21146:55526
DRPLA	WGSrpt_08	26	150	44	ok	chr12	7045732	7045880	163	ST-E00106:367:H7CNJALXX:6:1104:17015:47386
DRPLA	WGSrpt_08	32	150	39	ok	chr12	7045755	7045904	147	ST-E00106:367:H7CNJALXX:7:2107:30868:45048
DRPLA	WGSrpt_20	68	150	37	ok	chr12	7045788	7045935	83	ST-E00152:258:H7F3MALXX:7:2108:11140:32637
DRPLA	WGSrpt_20	59	149	44	ok	chr12	7045780	7045928	163	ST-E00152:258:H7F3MALXX:7:1224:11241:68746
DRPLA	WGSrpt_20	60	150	38	ok	chr12	7045840	7045992	163	ST-E00152:258:H7F3MALXX:7:2215:14570:47193
DRPLA	WGSrpt_20	64	150	39	ok	chr12	7045850	7046002	99	ST-E00152:258:H7F3MALXX:7:2106:5680:62347
DRPLA	WGSrpt_20	64	149	39	ok	chr12	7045830	7045980	147	ST-E00152:258:H7F3MALXX:7:1219:21166:2962
DRPLA	WGSrpt_20	54	150	44	ok	chr12	7045776	7045921	147	ST-E00152:258:H7F3MALXX:7:2124:4574:12226
DRPLA	WGSrpt_20	64	148	44	ok	chr12	7045841	7045988	99	ST-E00152:258:H7F3MALXX:7:1218:10622:3085
DRPLA	WGSrpt_20	63	150	40	ok	chr12	7045812	7045961	163	ST-E00152:258:H7F3MALXX:7:1119:28950:8183
DRPLA	WGSrpt_20	57	150	28	ok	chr12	7045889	7046036	147	ST-E00152:258:H7F3MALXX:7:1110:6126:67480
DRPLA	WGSrpt_20	66	150	40	ok	chr12	7045835	7045987	163	ST-E00152:258:H7F3MALXX:7:2115:16782:67023
DRPLA	WGSrpt_20	40	150	25	ok	chr12	7045909	7046058	147	ST-E00152:258:H7F3MALXX:7:1107:13271:5704
DRPLA	WGSrpt_20	31	150	37	ok	chr12	7045926	7046075	83	ST-E00152:258:H7F3MALXX:7:2107:25225:16709
DRPLA	WGSrpt_20	41	150	21	ok	chr12	7045908	7046057	163	ST-E00152:258:H7F3MALXX:7:1218:4401:51939
DRPLA	WGSrpt_20	67	150	33	ok	chr12	7045871	7046020	147	ST-E00152:258:H7F3MALXX:7:1115:13920:44732
DRPLA	WGSrpt_20	67	150	18	ok	chr12	7045870	7046017	163	ST-E00152:258:H7F3MALXX:7:2201:27032:63929
DRPLA	WGSrpt_20	28	150	44	ok	chr12	7045747	7045895	163	ST-E00152:258:H7F3MALXX:7:1218:8460:41778
DRPLA	WGSrpt_20	56	148	25	ok	chr12	7045773	7045920	147	ST-E00152:258:H7F3MALXX:7:1102:21460:24743
DRPLA	WGSrpt_20	64	149	21	ok	chr12	7045874	7046025	83	ST-E00152:258:H7F3MALXX:7:2106:12743:53311
DRPLA	WGSrpt_20	63	148	37	ok	chr12	7045785	7045932	147	ST-E00152:258:H7F3MALXX:7:1113:11556:38983
DRPLA	WGSrpt_20	35	150	44	ok	chr12	7045917	7046066	163	ST-E00152:258:H7F3MALXX:7:2103:21684:29384
DRPLA	WGSrpt_20	32	150	44	ok	chr12	7045924	7046073	147	ST-E00152:258:H7F3MALXX:7:2111:20577:68219
DRPLA	WGSrpt_20	69	150	25	ok	chr12	7045794	7045943	83	ST-E00152:258:H7F3MALXX:7:1106:13200:22071
DRPLA	WGSrpt_20	48	150	21	ok	chr12	7045901	7046050	163	ST-E00152:258:H7F3MALXX:7:2205:21613:52467
DRPLA	WGSrpt_20	37	150	40	ok	chr12	7045754	7045903	147	ST-E00152:258:H7F3MALXX:7:2113:27245:40389
DRPLA	WGSrpt_20	28	150	38	ok	chr12	7045752	7045901	163	ST-E00152:258:H7F3MALXX:7:1203:32786:41515
DRPLA	WGSrpt_20	57	150	36	ok	chr12	7045892	7046041	147	ST-E00152:258:H7F3MALXX:7:1107:15615:51113
DRPLA	WGSrpt_20	58	149	40	ok	chr12	7045774	7045922	99	ST-E00152:258:H7F3MALXX:7:1102:24972:25517
DRPLA	WGSrpt_20	68	150	50	ok	chr12	7045790	7045941	99	ST-E00152:258:H7F3MALXX:7:1101:22841:8956
DRPLA	WGSrpt_20	40	150	38	ok	chr12	7045909	7046058	83	ST-E00152:258:H7F3MALXX:7:2210:28544:64790
DRPLA	WGSrpt_20	18	150	44	ok	chr12	7045938	7046087	163	ST-E00152:258:H7F3MALXX:7:2205:3447:42095
DRPLA	WGSrpt_20	62	150	44	ok	chr12	7045788	7045937	163	ST-E00152:258:H7F3MALXX:7:1121:11606:14986
DRPLA	WGSrpt_20	62	150	33	ok	chr12	7045884	7046033	147	ST-E00152:258:H7F3MALXX:7:2123:22567:48037
DRPLA	WGSrpt_20	67	150	36	ok	chr12	7045833	7045982	83	ST-E00152:258:H7F3MALXX:7:2121:25347:17061
DRPLA	WGSrpt_20	67	150	37	ok	chr12	7045834	7045983	83	ST-E00152:258:H7F3MALXX:7:2201:12104:48371
DRPLA	WGSrpt_20	45	150	11	ok	chr12	7045895	7046014	163	ST-E00152:258:H7F3MALXX:7:1224:19136:9888
DRPLA	WGSrpt_20	62	150	44	ok	chr12	7045777	7045926	147	ST-E00152:258:H7F3MALXX:7:2106:23754:58391
DRPLA	WGSrpt_20	55	150	39	ok	chr12	7045815	7045967	163	ST-E00152:258:H7F3MALXX:7:2119:30157:61292
DRPLA	WGSrpt_20	53	150	34	ok	chr12	7045896	7046045	163	ST-E00152:258:H7F3MALXX:7:2110:13941:18713
DRPLA	WGSrpt_20	64	150	40	ok	chr12	7045856	7046005	163	ST-E00152:258:H7F3MALXX:7:1124:11231:49144
DRPLA	WGSrpt_20	66	150	40	ok	chr12	7045801	7045950	99	ST-E00152:258:H7F3MALXX:7:2217:14763:24778
DRPLA	WGSrpt_20	49	150	42	ok	chr12	7045779	7045928	163	ST-E00152:258:H7F3MALXX:7:1103:28869:62048
DRPLA	WGSrpt_20	69	149	37	ok	chr12	7045785	7045933	83	ST-E00152:258:H7F3MALXX:7:2119:17817:22792
DRPLA	WGSrpt_12	72	150	38	ok	chr12	7045795	7045938	83	ST-E00110:326:HCJHTALXX:1:1114:22851:60659
DRPLA	WGSrpt_12	67	150	44	ok	chr12	7045828	7045977	99	ST-E00110:326:HCJHTALXX:2:2210:3468:5247
DRPLA	WGSrpt_12	44	150	39	ok	chr12	7045759	7045908	147	ST-E00110:326:HCJHTALXX:1:1114:4827:35168
DRPLA	WGSrpt_12	72	149	49	ok	chr12	7045803	7045935	163	ST-E00110:326:HCJHTALXX:1:2216:20709:33393
DRPLA	WGSrpt_12	53	150	40	ok	chr12	7045896	7046045	99	ST-E00110:326:HCJHTALXX:1:1203:9881:22264
DRPLA	WGSrpt_12	63	150	18	ok	chr12	7045841	7045983	163	ST-E00110:326:HCJHTALXX:1:1208:14915:16744
DRPLA	WGSrpt_12	64	150	44	ok	chr12	7045841	7045990	83	ST-E00110:326:HCJHTALXX:2:1109:7892:10626
DRPLA	WGSrpt_12	62	150	21	ok	chr12	7045892	7046038	163	ST-E00110:326:HCJHTALXX:1:2114:8430:25235
DRPLA	WGSrpt_12	70	149	44	ok	chr12	7045786	7045934	99	ST-E00110:326:HCJHTALXX:2:1204:12591:65845
DRPLA	WGSrpt_12	33	150	37	ok	chr12	7045744	7045893	83	ST-E00110:326:HCJHTALXX:1:1214:2534:18080
DRPLA	WGSrpt_12	73	150	39	ok	chr12	7045833	7045974	163	ST-E00110:326:HCJHTALXX:2:1214:1468:57794
DRPLA	WGSrpt_12	69	150	38	ok	chr12	7045816	7045959	99	ST-E00110:326:HCJHTALXX:2:2206:9049:12912
DRPLA	WGSrpt_12	69	150	37	ok	chr12	7045820	7045961	83	ST-E00110:326:HCJHTALXX:2:2111:3407:61187
DRPLA	WGSrpt_12	61	150	28	ok	chr12	7045890	7046033	147	ST-E00110:326:HCJHTALXX:1:1119:15503:13931
DRPLA	WGSrpt_12	48	150	44	ok	chr12	7045772	7045920	163	ST-E00110:326:HCJHTALXX:1:1113:30472:4948
DRPLA	WGSrpt_12	72	149	39	ok	chr12	7045804	7045938	99	ST-E00110:326:HCJHTALXX:2:1203:25997:11470
DRPLA	WGSrpt_12	27	150	39	ok	chr12	7045734	7045883	163	ST-E00110:326:HCJHTALXX:1:1214:3305:65160
DRPLA	WGSrpt_12	63	150	54	ok	chr12	7045891	7046034	99	ST-E00110:326:HCJHTALXX:2:1203:6147:59604
DRPLA	WGSrpt_12	60	150	18	ok	chr12	7045874	7046023	163	ST-E00110:326:HCJHTALXX:1:1216:24748:71119
DRPLA	WGSrpt_12	64	148	38	ok	chr12	7045783	7045930	147	ST-E00110:326:HCJHTALXX:1:2101:27032:60519
DRPLA	WGSrpt_12	65	150	37	ok	chr12	7045780	7045929	83	ST-E00110:326:HCJHTALXX:2:1224:2270:42798
DRPLA	WGSrpt_12	40	150	34	ok	chr12	7045909	7046058	163	ST-E00110:326:HCJHTALXX:2:2111:14580:26431
DRPLA	WGSrpt_12	69	148	42	ok	chr12	7045815	7045956	147	ST-E00110:326:HCJHTALXX:1:1218:14864:59763
DRPLA	WGSrpt_12	64	150	38	ok	chr12	7045826	7045975	147	ST-E00110:326:HCJHTALXX:1:2202:29965:37190
DRPLA	WGSrpt_12	64	150	21	ok	chr12	7045853	7045996	147	ST-E00110:326:HCJHTALXX:2:2216:13656:61995
DRPLA	WGSrpt_12	67	150	44	ok	chr12	7045875	7046024	83	ST-E00110:326:HCJHTALXX:1:1102:2686:37155
DRPLA	WGSrpt_12	58	149	40	ok	chr12	7045774	7045922	99	ST-E00110:326:HCJHTALXX:1:1105:29021:48775
DRPLA	WGSrpt_12	69	150	39	ok	chr12	7045815	7045958	99	ST-E00110:326:HCJHTALXX:1:1121:27793:37014
DRPLA	WGSrpt_12	49	150	40	ok	chr12	7045764	7045913	163	ST-E00110:326:HCJHTALXX:2:2107:31284:18274
DRPLA	WGSrpt_12	68	150	28	ok	chr12	7045886	7046026	83	ST-E00110:326:HCJHTALXX:1:2120:16336:24128
DRPLA	WGSrpt_12	35	150	44	ok	chr12	7045916	7046065	163	ST-E00110:326:HCJHTALXX:2:1214:8745:22229
DRPLA	WGSrpt_12	61	150	28	ok	chr12	7045888	7046031	147	ST-E00110:326:HCJHTALXX:2:2113:2422:6179
DRPLA	WGSrpt_12	28	149	39	ok	chr12	7045739	7045887	83	ST-E00110:326:HCJHTALXX:2:1118:14275:6812
DRPLA	WGSrpt_12	28	148	39	ok	chr12	7045739	7045886	99	ST-E00110:326:HCJHTALXX:1:2219:28168:5071
DRPLA	WGSrpt_12	32	149	37	ok	chr12	7045741	7045889	83	ST-E00110:326:HCJHTALXX:2:1220:11809:23003
DRPLA	WGSrpt_12	67	150	21	ok	chr12	7045854	7046003	83	ST-E00110:326:HCJHTALXX:2:1109:30350:38174
DRPLA	WGSrpt_12	26	150	37	ok	chr12	7045732	7045881	147	ST-E00110:326:HCJHTALXX:2:1222:25408:54858
DRPLA	WGSrpt_12	67	150	39	ok	chr12	7045869	7046018	99	ST-E00110:326:HCJHTALXX:1:2209:7598:55930
DRPLA	WGSrpt_12	66	149	44	ok	chr12	7045796	7045944	99	ST-E00110:326:HCJHTALXX:2:1115:17005:38825
DRPLA	WGSrpt_12	4	150	41	un	chr12	7046057	7046204	89	ST-E00110:326:HCJHTALXX:1:1224:6360:67814
